Aff, Exb, Aff, Act, Act, Act 	Act, Off, Exb	Dir, Act, Act	Aff, Aff, Act Act, Act	Exb, Exb	Exb, Act, Agg	Act, Act	Act, Exb, Act, Act	Exb, Act	Com, Exb
Exb, Aff	Act, Act	Act, Dir, Dir	Aff, Aff	Act, Act, Agg, Act	Agg, Agg, Ten	Act, Act	Act	Agg, Agg	Act
Aff	Act	Act	Act	Crip	Ten	Act	Act	Agg	Pas
Act	Dir	Fail	Aff	Exb	Ten	Dep	Act	Agg	Aff
Aff, Agg	Act	Act	Aff	Act	Agg	Pas	Act	Exb	Aff
Aff	Act	Act	Aff	Des	Agg	Aff	Act	Act	Aff
Aff	Aff	Dir	Aff	Des	Exb	Agg	Act	Crip	Aff
Aff	Exb	Act	Aff	Des	Agg	Act	Act	Exb	Aff
Aff	Act	Act	Aff	Crip	Des	Des	Act	Act	Aff
Aff	Act	Dir	Act	Act	Agg	Act	Act	Exb	Act
Aff	Act	Act	Aff	Pas	Agg	Aff	Com	Act	Aff
Dir	Act	Act	Act	Pas	Act	Act	Act	Exb	Com
Act, Act	Act	Act, Act	Aff	Pas	Exb, Agg	Aff	Exb	Exb, Crip	Act
Aff	Act	Act	Agg	Pas	Ten	Aff	Act	Act	Act
Aff	Crip, Crip	Act, Act	Act, Agg	Act, Des, Crip	Ten, Agg	Act, Dep	Act, Act, Act	Act, Des	Des, Bas?
Aff, Des	Des	Act, Des	Aff, Des	Act, Ten, Des	Act, Ten, Exb	Pas, Des	Des	Act, Des	Act
Act, Des	Act	Act, Des	Aff	Act, Des	Exb	Des, Dir	Exb, Des	Exb, Des	Agg, Aff
Aff	Pas	Dir	Aff	Dep	Exb	Dir	Act	Act	Exb
Aff	Act	Act	Aff	Act	Exb	Act	Exb	Exb	Com
Aff, Act	Des, Act, Act	Act, Act	Aff, Act	Des	Ten, Exb, Agg	Des, Exb	Des, Act, Act, Act	Act, Crip	Act
Agg	Act	Act	Aff	Act	Agg	Dir	Act	Act	Com
Aff	Act	Act	Act	Act	Agg	Act	Act	Act	Aff
Aff	Act	Act	Aff	Act	Agg	Aff	Act	Exb	Com
Aff	Act	Act	Aff	Act	Agg	Aff	Act	Exb	Com
Aff, Act	Act	Act	Aff	Pas	Exb	Act, Act	Act	Exb	Com
Act	Act	Act, Dir	Aff	Crip	Agg	Aff	Act	Act	Act
Act, Aff	Act, Des	Act, Dir	Act, Aff	Pas, Des	Agg, Des	Dir, Dir	Act, Des	F	Fail
Des, Aff	Act	Act	Aff	Agg	Exb, Des	Exb, Des	Act	Act	Dir
Dep, Aff	Des, Dir	Act	Aff	Com	Agg, Ten	Dir	Act, Act	Des	Com
Aff, Act	Act, Act	Dir	Aff	Pas, Des	Exb	Dir	Act	Exb	Aff
Aff	Act	Act	Aff	Act	Act	Aff	Des	Des	Com
Aff, Act, Act	Act	Act, Act, Act, Act, Act	Agg, Act	Act, Com	Agg, Agg, Act, Aff	Aff, Act, Act, Act	Act, Act	Act, Act	Act
Act, Act	Act	Act, Exb	Des	Exb, Act, Crip, Crip	Agg, Agg	Dir	Act	Exb	Com
Aff	Act	Act	Aff	Ten	Act	Aff	Act	Des	Act
Des	Des	Dep	Des	Des	Des	Des, Des	Des	Act	Des, Des
Des	Act	Act	Aff	Act	Agg	Dir	Des, Act	Des	Des, Com
Aff	Act	Act	Aff	Act	Act	Act	Act	Act	Com
Dir, Aff, Exb	Act, Act, Des	Dir	Aff, Aff, Com	Act, Exb, Com	Act, Agg	Act	Act, Act, Act	Act, Act	Act, Act, Dir
Aff, Act	Des, Act	Dir, Des	Aff, Aff	Act, Ten	Exb, Act	Exb, Des	Aff, Act	Act	Act, Des
Act, Des, Des	Act, Act, Des	Act, Des	Des, Aff	Act, Des	Ten, Agg, F	Des, Act	Ten, Des	Agg, F, Des	Aff
Aff, Dep, Act	Act, Act	Act, Act	Aff, Act	Des, Pas	Ten, Agg	Act, Des	Act, Agg	Agg	Act
Com, Act	F, Act	Dir	Aff	Crip, Act	Exb, Agg	F	Act	Exb, Act	Exb
Aff	F	Dir	Aff	Act	F	Dir, Des	Act	Exb	Aff, Aff, Aff
Aff, Exb	Act, Act, F, Act	Act, Dir, Act, Act	Aff, Aff	Aff, Des, Act	Exb, Agg	Fail	Act, Act, Act	Des, Exb	Des
Aff	Act	Act, Dir	Aff	Act	Agg	Aff	Act	Des	Com
Aff	Act	Act	Aff, Agg	Aff	Aff	Aff	Act	Dir	Aff
Aff	Act	Act, Act	Aff, Aff	Ten, Act	Ten, Exb, Exb	Exb, Act	Agg, Des	Agg	Exb
Aff, Dep, Des	Act, Des	Des	Aff, Aff	Des, Act	Des, Agg, Des	Aff, Exb	Act, Pas, Pas	Agg, Aff	Com
Aff	Act, Act	Act, Dir	Aff, Des	Pas, Ten, Des	Exb	Act	Act, Des	Des, Agg	Act
Act, Aff	Crip, Act, Des	Act, Des	Act, Aff, Act, Act	Aff, Des	Act, Des	Act, Des, Des	Act, Exb	Act, Act	Act, Des
Dir	F, F	Act, Dir	Aff, Aff	Des, Crip, Crip	Agg	Aff, Aff	Act	Com	Des, Bas?
Aff	Act	Dir	Aff	Des, Crip	Agg, Ten	Exb, Dir	Act	Des	Com
Aff	Act	Act	Act, Des	Act	Agg, Com	Exb, Des	Act, Act	Exb	Exb
Aff, Act	Act, Act	Act, Agg	Aff	Crip	Exb, Act	Aff, Act	Act	Com	Act
Aff	Act	Act	Aff	Act	Exb	Act	Act	Act	Des, Com
Aff	Act, Act	Act, Act	Aff, Aff	Pas, Crip	Ten	Des, Act	Act, Act	Act	Com
Act, Des, Des	Act, Des	Act, Dir	Aff, Exb	Act	Act	Act	Act, Act	Exb, Exb	Act, Act
Act	Agg	Act	Aff	Aff	Exb	Act	Act	Act	Com
Des, Des, Act	Agg	Des, Des, Act, Dir, Dir	Aff, Des	Des, Des, Com	Des	Des, Dir	Act, Des	Exb, Des	Com
